Directory,勘誤,勘誤備註說明,序號,縣市 County,縣市及鄉鎮市區 County and Area,村里 Village,預計收容村里 Service Area,避難收容處所地址 Address,避難收容處所名稱 Shelter Name,適用災害類別 Disaster Categories,適合避難弱者安置 Shelter for Vulnerable People,室內 Indoor,室外 Outdoor,預計收容人數 Capacity,緯度,經度,管理人姓名,管理人電話,經緯度
,,,303,高雄市,高雄市大寮區,內坑里,內坑里,仁德路10號之1,荷蘭町,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,200,22.591993,120.399701,鄭詩韻,7881811,"22.591993,120.399701"
,,,304,屏東縣,屏東縣萬丹鄉,灣內村,灣內村、後村村、崙頂村、田厝村。,屏東縣萬丹鄉崙頂村崙頂路860號,興華國小,"土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,400,22.5929,120.4615,李再和,08-7061481,"22.5929,120.4615"
,只是漏字或多字,沒填寫村里,305,高雄市,高雄市前鎮區,,設籍本市領有身心障礙手冊之18歲至64歲重度、極重度智障者或含有智障之多重障礙者（需進行異地安置使視情況開設）,翠亨北路392號,高雄市政府社會局無障礙之家,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,3,22.5941,120.3153,陳桂英主任,07-8151500分機107,"22.5941,120.3153"
,,,306,高雄市,高雄市鳳山區,南成里,南成、南和、富榮、二甲里,南和街101號,高雄市鳳山區南成國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,1484,22.594316,120.335487,簡伯陞,8215354#40,"22.594316,120.335487"
,,,307,高雄市,高雄市鳳山區,鎮南里,鎮南里,五甲二路730巷6號,龍成宮,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,100,22.5945,120.3283,黃振塊,07-8312677,"22.5945,120.3283"
,,,308,高雄市,高雄市大寮區,內坑里,內坑里,內坑路108-67號,米蘭特區,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,80,22.594653,120.388157,蔡虹華,939307219,"22.594653,120.388157"
,,,309,屏東縣,屏東縣萬丹鄉,四維村,四維村、萬全村、萬生村、竹林村。,屏東縣萬丹鄉四維村四維東路567號,四維國小,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,22.595,120.49,許美珠,08-7761987,"22.595,120.49"
,,,310,屏東縣,屏東縣內埔鄉,美和村,美和村,學人路55號,僑智國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,室外 Outdoor,120,22.595,120.5566,宋婷慧,08-7792544-14,"22.595,120.5566"
,,,311,屏東縣,屏東縣萬巒鄉,萬金村,萬金村、赤山村、成德村,萬興路24號,萬金天主教堂,水災-Flooding,否 No,室內 Indoor,否,250,22.5951,120.6112,徐清賢,08-7832005,"22.5951,120.6112"
,,,312,臺東縣,臺東縣金峰鄉,嘉蘭村,嘉蘭村,"3鄰132號No.132,Jialan,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",嘉蘭國小 Jialan Elementary School,水災-Flooding,否 No,室內 Indoor,否,100,22.595308,120.961523,洪琬莉,089-751224,"22.595308,120.961523"
,,,313,高雄市,高雄市鳳山區,二甲里,二甲、保安、南成里,鳳育路63號,高雄市鳳山區鳳翔國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,3106,22.595332,120.340798,林裕斌,7422751#40,"22.595332,120.340798"
,沒有說明適用哪些災害類別,,314,高雄市,高雄市鳳山區,保安里,保安里,保義街100號,高雄市立鳳翔國民中學,,否 No,否,否,385,22.59641,120.348197,陳榮輝,07-7929337#31,"22.59641,120.348197"
,,,315,屏東縣,屏東縣萬丹鄉,四維村,萬惠村、寶厝村、萬安村。,屏東縣萬丹鄉萬丹路2段5號,萬丹國中,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,500,22.5966,120.4881,鍾文欽,08-7772020,"22.5966,120.4881"
,,,316,臺東縣,臺東縣金峰鄉,嘉蘭村,嘉蘭村,"4鄰嘉蘭219號No.9,Jialan,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",嘉蘭村活動中心 Jialan Activity Center,"水災-Flooding,土石流-Landslide",否 No,室內 Indoor,室外 Outdoor,100,22.596696,120.959985,李吳道義,089-751069,"22.596696,120.959985"
,,,317,高雄市,高雄市鳳山區,福誠里,福誠、福祥、五福、福興里,忠誠路145號,高雄市鳳山區福誠國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,1267,22.596813,120.325055,安翊之,8120152#40,"22.596813,120.325055"
,,,318,高雄市,高雄市鳳山區,龍成里,鎮南、龍成、善美、富甲里,龍成路111號,高雄市立五甲國民中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,1178,22.598112,120.328691,崔偉凡,8319676,"22.598112,120.328691"
,,,319,高雄市,高雄市鳳山區,中崙里,中崙、中民、中榮里,中崙四路25號,高雄市鳳山區中崙國民小學,"水災-Flooding,地震-Earthquake",否 No,否,否,3054,22.599431,120.350798,許芳銘,07-7533244,"22.599431,120.350798"
,,,320,高雄市,高雄市大寮區,會社里,以全區為對象以會社里為優先收容安置對象,鳳林三路315之22號,大發公有市場3樓,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,120,22.600592,120.397972,拾景山,7866866,"22.600592,120.397972"
,,,321,高雄市,高雄市前鎮區,瑞祥里,全區綜合運用,班超路20號,高雄市前鎮區瑞祥國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,1636,22.600692,120.326798,王淑芬,07-7221212#731,"22.600692,120.326798"
,,,322,高雄市,高雄市旗津區,上竹里,上竹、中洲、安順、中興,旗津三路275號,高雄市旗津區中洲國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,600,22.6008,120.2764,林義良,07-5712225轉731,"22.6008,120.2764"
,,,323,高雄市,高雄市前鎮區,瑞南里,全區綜合運用,班超路63號,高雄市立瑞祥高級中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,1000,22.602208,120.324758,謝日榮,07-8152271#310,"22.602208,120.324758"
,,,324,高雄市,高雄市大寮區,上寮里,上寮里,上寮路208之25號,高雄市立大寮幼兒園,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,150,22.602808,120.422136,李麗華,7877409,"22.602808,120.422136"
,,,325,高雄市,高雄市大寮區,永芳里,永芳里,進學路150號,高雄市立大寮國民中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami,核子事故-NuclearEmergency",是 Shelter for Vulnerable People,否,否,150,22.602926,120.39266,鍾汪宏,7818038,"22.602926,120.39266"
,,,326,高雄市,高雄市鳳山區,中榮里,中榮、中民、誠義里,中崙二路487號,高雄市立中崙國民中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,469,22.603304,120.353555,江文雄,7538686#173,"22.603304,120.353555"
,,,327,高雄市,高雄市大寮區,三隆里,三隆里,正隆街45號,三隆里社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,40,22.60349,120.406342,林新全,7816192,"22.60349,120.406342"
,,,328,高雄市,高雄市鳳山區,正義里,正義、一甲、老爺、善美里,南昌街55號,高雄市鳳山區正義國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,1025,22.603997,120.340127,張秋麗,7714440#40,"22.603997,120.340127"
,,,329,臺東縣,臺東縣金峰鄉,正興村,正興村,"2鄰28號No.28,Zhengxing,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",正興村活動中心Zhengxing Activity Center,"水災-Flooding,地震-Earthquake,土石流-Landslide",是 Shelter for Vulnerable People,室內 Indoor,否,100,22.604086,120.996484,陳進興,089-782497,"22.604086,120.996484"
,,,330,屏東縣,屏東縣泰武鄉,泰武村,泰武村,大武山一街30號,泰武活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide",否 No,室內 Indoor,否,300,22.6046,120.6117,池萬地,921317840,"22.6046,120.6117"
,,,331,高雄市,高雄市前鎮區,建隆里,忠純、忠誠、建隆、良和、西甲、西山、盛興、振興、盛豐、興中、民權,中山三路43號,高雄市立獅甲國民中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,1200,22.6051,120.3083,陳正憲,8215176轉179,"22.6051,120.3083"
,,,332,屏東縣,屏東縣竹田鄉,美崙村,"西勢村,福田村,永豐村,美崙村",龍崗路130號,竹田鄉立幼兒園,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,200,22.60513,120.5476216,宋秋菊,08-7791130,"22.60513,120.5476216"
,,,333,高雄市,高雄市大寮區,永芳里,永芳里、三隆里、會社里、內坑里、拷潭里,鳳林三路499號,高雄市大寮區永芳國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami,核子事故-NuclearEmergency",是 Shelter for Vulnerable People,否,否,600,22.605277,120.395195,顏雅莉,7812814轉40,"22.605277,120.395195"
,,,334,高雄市,高雄市前鎮區,瑞華里,瑞南、瑞和、瑞文、瑞豐、瑞平、瑞岡、瑞華、瑞祥、瑞隆、瑞興、瑞昌、瑞東、瑞北、瑞誠、瑞西等15里,瑞隆路100號,高雄市前鎮區瑞豐國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,1781,22.6061,120.337,洪碧珠,8215176轉179,"22.6061,120.337"
,只是漏字或多字,沒填寫村里,335,高雄市,高雄市鳳山區,,如需進行異地收容安置方才啟用，視情況調度收容對象,凱旋路1號,金湯營區,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,400,22.6077,120.3623,社會局救助科-林宗德股長,3368333轉2063,"22.6077,120.3623"
,只是漏字或多字,沒填寫村里,336,高雄市,高雄市鳳山區,,如需進行異地收容安置時方才啟用，視情況調度收容對象,凱旋路1號,中正營區,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,500,22.6077,120.3623,社會局救助科-林宗德股長,3368333轉2063,"22.6077,120.3623"
,,,337,高雄市,高雄市大寮區,山頂里,山頂里、光武里,山頂路211號,高雄市大寮區山頂國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami,核子事故-NuclearEmergency",是 Shelter for Vulnerable People,否,否,200,22.607807,120.388806,吳浚碩,7828205轉40,"22.607807,120.388806"
,,,338,高雄市,高雄市前鎮區,西山里,全區綜合運用,民權二路331號,高雄市前鎮區復興國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,800,22.608203,120.311425,李牧桓,07-3351784#731,"22.608203,120.311425"
,,,339,高雄市,高雄市前鎮區,竹內里,全區綜合調度,育樂路61號,高雄市前鎮區樂群國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,300,22.608234,120.322489,總務組,7225846,"22.608234,120.322489"
,,,340,高雄市,高雄市大寮區,山頂里,山頂里,山頂路178號,山頂里社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,250,22.608247,120.388518,楊秀花,7838787,"22.608247,120.388518"
,,,341,高雄市,高雄市前鎮區,民權里,全區綜合運用,沱江街200號,高雄市前鎮區民權國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,1568,22.608482,120.314444,方季堂,07-5367177#310,"22.608482,120.314444"
,,,342,高雄市,高雄市旗津區,慈愛里,旗下、永安、振興、慈愛、中華、復興里,中洲三路623號,高雄市旗津區旗津國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,120,22.609,120.2715,黃俊鴻,5715133轉731,"22.609,120.2715"
,,,343,高雄市,高雄市前鎮區,竹西里,全區綜合運用,廣東三街73號3樓,高雄市竹西里活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,100,22.60930404,120.3198654,總務組,8215176,"22.60930404,120.3198654"
,,,344,屏東縣,屏東縣內埔鄉,內埔村,內埔村.興南村,廣濟路2號,內埔國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,120,22.61,120.5659,張家驥,08-7792055轉14,"22.61,120.5659"
,,,345,高雄市,高雄市前鎮區,竹西里,興東、忠孝、竹西、復國、竹中、竹內、瑞竹、竹東、竹南、竹北等10里,光華二路80號,高雄市立中正高級工業職業學校,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,1000,22.610595,120.317629,總務組,7232301,"22.610595,120.317629"
,,,346,高雄市,高雄市前鎮區,竹東里,全區綜合運用,和平二路170號,高雄市立光華國民中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,600,22.61083,120.322944,總務組,7222622,"22.61083,120.322944"
,,,347,屏東縣,屏東縣內埔鄉,內埔村,內埔村.和興村,文化路183號,內埔鄉文康中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,室外 Outdoor,120,22.611,120.5695,林明志,08-7781184,"22.611,120.5695"
,,,348,高雄市,高雄市前鎮區,瑞文里,全區綜合運用,瑞興街99號,高雄市立瑞豐國民中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,200,22.611085,120.331091,總務主任葉豐榮,07-7713181,"22.611085,120.331091"
,,,349,屏東縣,屏東縣內埔鄉,內埔村,"內田村,建興村,豐田村,竹圍村",文化路262號,內埔國中,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,室外 Outdoor,120,22.6113,120.5705,黃百祥,08-7792013轉14,"22.6113,120.5705"
,,,350,臺東縣,臺東縣太麻里鄉,大王村,大王村泰和村,文化路60號,大王國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,100,22.613304,121.003685,黃貞英,089-781342,"22.613304,121.003685"
,,,351,高雄市,高雄市鳳山區,新甲里,新甲、新強、新泰、新武、新樂、武漢、武慶里,新富路255號,高雄市鳳山區新甲國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,2199,22.613771,120.339923,侯俊榮,7668170#40,"22.613771,120.339923"
,,,352,高雄市,高雄市苓雅區,苓東里,博仁、苓洲、苓昇、苓中、苓雅、苓東,華新街59號,高雄市苓雅區成功國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,920,22.613929,120.297064,羅永和,3341882130,"22.613929,120.297064"
,,,353,高雄市,高雄市前鎮區,忠孝里,全區綜合運用,二聖二路194號,高雄市前鎮區愛群國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,1000,22.61396,120.312716,校長陳文炳,07-3320323#10,"22.61396,120.312716"
,,,354,高雄市,高雄市大寮區,琉球里,琉球里,琉球路64號,武侯宮,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,200,22.613987,120.411173,郭家旺,7817327,"22.613987,120.411173"
,,,355,高雄市,高雄市大寮區,光武里,光武里,民生路317-1號,光武里社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,20,22.614458,120.384658,李先然,7836672,"22.614458,120.384658"
,,,356,高雄市,高雄市苓雅區,城西里,城北、城西、城東、意誠、鼓中、田西、人和,四維四路61號,高雄市苓洲國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,855,22.6145,120.3005,蔡慧華,3351804310,"22.6145,120.3005"
,,,357,臺東縣,臺東縣太麻里鄉,大王村,大王村泰和村北里村,11鄰順安路39號,順安府,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,室外 Outdoor,50,22.614936,120.993368,陳水獅,089-782297,"22.614936,120.993368"
,,,358,臺東縣,臺東縣太麻里鄉,大王村,大王村泰和村北里村,11鄰順安路33號,太麻里鄉老人會館,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,100,22.614936,120.993368,陳玉璽,089-781301,"22.614936,120.993368"
,,,359,屏東縣,屏東縣萬丹鄉,社皮村,社口村、社皮村、加興村、社中村、磚寮村。,屏東縣萬丹鄉社皮路二段550號,社皮國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,100,22.615,120.4681,黃裕貿,08-7072162,"22.615,120.4681"
,,,360,高雄市,高雄市苓雅區,林貴里,光華、林貴、林榮、英明,英明路147號,高雄市立英明國民中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,1382,22.615251,120.324395,陳尚宏,715094933,"22.615251,120.324395"
,難字無法顯示-聯絡人員姓名,,361,屏東縣,屏東縣內埔鄉,內田村,東寧村.東勢村.上樹村.東片村,自強路85號,東寧國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,室外 Outdoor,120,22.6155,120.5629,邱煒��,08-7785563,"22.6155,120.5629"
,,,362,屏東縣,屏東縣萬丹鄉,社皮村,崙頂村,屏東縣萬丹鄉大昌路495號,老人文康活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,150,22.6157,120.4691,徐玉玲,08-7070982,"22.6157,120.4691"
,,,363,屏東縣,屏東縣萬丹鄉,社皮村,崙頂村,屏東縣萬丹鄉大昌路495號,老人文康活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,150,22.6157,120.4691,徐玉玲,08-7070982,"22.6157,120.4691"
,,,364,屏東縣,屏東縣萬丹鄉,廣安村,廣安村,屏東縣萬丹鄉廣安村廣志街8巷15號,廣安國小,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,30,22.6157,120.4905,高源春,08-7772444,"22.6157,120.4905"
,,,365,屏東縣,屏東縣竹田鄉,西勢村,第五收容所,龍南路26號,竹田國中,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,600,22.615722,120.524088,陳英貴,08-7792024,"22.615722,120.524088"
,,,366,高雄市,高雄市大寮區,琉球里,琉球里,黃厝路35之10號,黃厝北極上帝殿,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,200,22.616179,120.410497,黃天得,7819915,"22.616179,120.410497"
,,,367,屏東縣,屏東縣內埔鄉,富田村,富田村.振豐村,里仁路202號,富田國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,120,22.6163,120.5401,陳東星,08-7791034,"22.6163,120.5401"
,,,368,高雄市,高雄市大寮區,忠義里,忠義里、中興里、前庄里,忠義路1號,高雄市大寮區忠義國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami,核子事故-NuclearEmergency",是 Shelter for Vulnerable People,否,否,200,22.616353,120.384143,鄭宿容,7812858轉40,"22.616353,120.384143"
,,,369,高雄市,高雄市鳳山區,新強里,新強、新富里,輜汽路300號,高雄市立鳳甲國民中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,1917,22.616576,120.342588,莊淑鈴,7675300#31,"22.616576,120.342588"
,,,370,高雄市,高雄市鳳山區,生明里,生明、鎮東里,黃埔新村國校巷78號,高雄市鳳山區誠正國民小學,"水災-Flooding,地震-Earthquake",否 No,否,否,641,22.616848,120.363867,沈學杰,07-7463417#40,"22.616848,120.363867"
,,,371,高雄市,高雄市鳳山區,和興里,和興、和德、誠義里,光華東路100號,高雄市鳳山區鳳西國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,1711,22.61715,120.358728,黃明華,7417655#40,"22.61715,120.358728"
,,,372,高雄市,高雄市鳳山區,國富里,國富、國泰、國光里,新富路630號,高雄市鳳山區忠孝國民小學,"水災-Flooding,地震-Earthquake",否 No,否,否,1898,22.617854,120.349428,柯佳儀,07-7632257#40,"22.617854,120.349428"
,,,373,高雄市,高雄市苓雅區,華堂里,仁政、廣澤、美田、華堂、日中、和煦,四維三路176號,高雄市立苓雅國民中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,945,22.618047,120.30541,林淑蘭,3353307,"22.618047,120.30541"
,,,374,高雄市,高雄市大寮區,忠義里,忠義里,商協福利路59-1號,忠義里里辦公處2樓,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,20,22.618515,120.382478,邴健鵬,7828959,"22.618515,120.382478"
,,,375,高雄市,高雄市大寮區,中興里,中興里,文化路2巷2號,中興里社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,25,22.618811,120.387461,王英美,7811786,"22.618811,120.387461"
,,,376,高雄市,高雄市苓雅區,福康里,朝陽、福隆、福康、福人、福地、福居、福東,漢陽街17號,高雄市苓雅區福康國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,1764,22.618957,120.32935,吳政宗,7227134#732/735,"22.618957,120.32935"
,,,377,高雄市,高雄市鳳山區,誠正里,如需進行異地收容安置方才啟用，視情況調度收容對象,維武路1號,黃埔營區,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,600,22.6192,120.3656,社會局救助科-林宗德股長,3368333轉2063,"22.6192,120.3656"
,沒有說明適用哪些災害類別,,378,高雄市,高雄市鳳山區,國隆里,國隆里、新富里、海洋里、國泰里,國泰路2段81號,高雄市立忠孝國民中學,,否 No,否,否,1800,22.619923,120.346448,林彥妙,07-763525235,"22.619923,120.346448"
,,,379,高雄市,高雄市鼓山區,維生里,如需進行異地收容安置方才啟用，視情況調度收容對象,鼓山一路1號,新濱營區,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,230,22.6202,120.2745,社會局救助科-林宗德股長,33683332060-2062,"22.6202,120.2745"
,,,380,高雄市,高雄市苓雅區,晴朗里,需特殊照顧之失依兒童少年，如需異地安置始視情況進行開設,四維三路2號9樓,高雄市政府社會局安琪兒家園,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,3,22.6205,120.312,社會局婦女及保護服務科業務承辦人,07-3303353,"22.6205,120.312"
,,,381,高雄市,高雄市苓雅區,晴朗里,需特殊照顧之失依兒童少年，如需異地安置始視情況進行開設,四維三路2號9樓,高雄市政府社會局陽光家園,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,3,22.6205,120.312,社會局婦女及保護服務科業務承辦人,07-3303353,"22.6205,120.312"
,,,382,高雄市,高雄市苓雅區,林德里,普天、林興、林華、林西、林中、林泉、林南、中正、同慶、凱旋、林德,三多二路100號,高雄市苓雅區五權國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,582,22.62062,120.324166,古振宏,751107431,"22.62062,120.324166"
,,,383,屏東縣,屏東縣內埔鄉,興南村,興南村.義亭村,育文路73號,育英國小,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,室外 Outdoor,120,22.6207,120.5815,陳美倫,08-7793004轉13,"22.6207,120.5815"
,,,384,高雄市,高雄市前金區,博孝里,博孝、社西、社東、文東、文西、榮復、長生里,五福三路122號,高雄市立高雄高級女子中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,1145,22.6209,120.2927,黃秀霞,07-2115418,"22.6209,120.2927"
,[完成勘誤] 位置有誤,"建議經緯度：22.62370413824876, 120.2876158884053",385,高雄市,高雄市鹽埕區,育仁里,育仁、沙地、南端里,大智路150號,高雄市鹽埕區光榮國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,200,22.621,120.288,李哲明,5218625,"22.621,120.288"
,,,386,高雄市,高雄市大寮區,前庄里,前庄里,前庄路49號,謝府元帥廟,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,50,22.621389,120.393778,陳正吉,7025519,"22.621389,120.393778"
,,,387,高雄市,高雄市鹽埕區,河濱里,全區,大智路71號,高雄市鹽埕區忠孝國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,563,22.6216,120.2852,楊頌平,551-4887#310,"22.6216,120.2852"
,[完成勘誤] 位置有誤,"建議經緯度為: 24.207341809968582, 120.574000994777",388,臺中市,臺中市沙鹿區,埔子里,埔子里,正義路218號,沙鹿幼兒園埔子分班,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,116,22.6219,120.3381,洪麗園,04-26634853,"22.6219,120.3381"
,,,389,高雄市,高雄市苓雅區,林富里,普照、晴朗、林富、林圍、林安、尚義,青年一路103號,高雄市苓雅區四維國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,2236,22.623092,120.312653,沙寶珠,3348199#310,"22.623092,120.312653"
,,,390,高雄市,高雄市大寮區,翁園里,翁園里,翁園路79之1號,翁園里社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,60,22.623246,120.408663,林丁貴,7813753,"22.623246,120.408663"
